,L,R
1472,C3,C6
1473,F3,F4
1474,z,C5
1475,G#2,C5D#5G#5C6
1476,F3G#3C4,D5F5G#5D6
1477,G3,A#5
1478,z,D5
1479,z,z
1480,D3F3G#3A#3,A#4D5F5
1481,C#4,C#5
1482,z,D5
1483,z,G4
1484,F3,F4
1485,A#2,A#3
1486,z,D6
1487,F#3,F#5
1488,z,A5
1489,z,G4
1490,z,D5
1491,G3C4D#4,G#5D#6G#6
1492,z,E4
1493,G#3A#3D4,G#4F5G#5
1494,F#3,F#5
1495,D#2,D#5G5A#5D#6
1496,z,D6
1497,z,E5
1498,z,A5
1499,D#3G#3C4,C5D#5
1500,C3D#3F#3,F#4F#5
1501,z,A4
1502,F#2,D5B5D6
1503,z,z
1504,z,D4F4
1505,D#3G3A#3,G5D#6
1506,z,z
1507,C4,B3D4G4
1508,z,G4
1509,z,A4
1510,z,D5
1511,z,E5
1512,z,G5
1513,z,A5
1514,z,C5
1515,G2,F6
1516,z,z
1517,z,D5
1518,C3,C4
1519,C2,C5E5G5C6
1520,F#3,F#5
1521,z,C5
1522,z,D5
1523,z,E5
1524,z,C6D#6
1525,D#3G#3C4,C5D#5
1526,z,B3F4
1527,z,D5
1528,G3,F#4
1529,z,D5
1530,z,D5
1531,G#2,C5D#5G#5C6
1532,z,z
1533,G3,F#4
1534,z,C5
1535,F#3,F#5
1536,F3,D4
1537,z,F5
1538,F3,D4
1539,z,F5
1540,z,G5
1541,z,z
1542,C3D#3G3,C4C5
1543,z,D5
1544,z,E4
1545,z,E5
1546,z,z
1547,F3,F4
1548,z,G4
1549,z,z
1550,z,C5
1551,A#2,A#4
1552,z,E5
1553,z,C5
1554,z,C5
1555,z,B5
1556,D2,A3C#4E4
1557,z,B5D6
1558,z,C5
1559,z,z
1560,A#2,D4F4A#4
1561,z,D5
1562,z,A4
1563,F3,F4
1564,F#3,F#5
1565,C3D#3G3,G4G5
1566,G3,F#4
1567,z,F5
1568,F#3,F#5
1569,G3,F#4
1570,A#2,A#3
1571,G3,B4
1572,G3,D#4
1573,D3F3G#3A#3,A#4D5F5
1574,z,z
1575,z,A5
1576,z,E5
1577,z,C5
1578,G3,B4
1579,z,C5
1580,D#2,D#5G5A#5D#6
1581,D#3G3C#4,G5A#5D#6
1582,z,D5F5
1583,z,D3B3
1584,z,D5
1585,z,F5
1586,G3,B4
1587,G3,B4
1588,z,G4
1589,D3,D5F#5
1590,z,C5
1591,z,D5
1592,z,F5
1593,z,D4F4
1594,C3,C6
1595,z,B5D6
1596,z,E5
1597,z,C5
1598,C3,C6
1599,A#2,D4F4A#4
1600,F#3,F#5
1601,z,z
1602,C#4,C#5
1603,z,A5
1604,z,D5F5
1605,z,D5
1606,C3,C4
1607,E2,E3G3B3
1608,z,G4
1609,C4,D#5
1610,z,E4
1611,C3,E5G5
1612,z,G4C#5
1613,z,E5
1614,F3G3B3,G#4
1615,F3,D4
1616,G3,D#4
1617,F3G3,B4F5
1618,z,F5
1619,A#2D#3G3,D#4G4
1620,z,B5
1621,D3,D5F#5
1622,D#3G#3C4,C5D#5
1623,A#2D#3G3,G4A#4D#5
1624,z,z
1625,z,C5
1626,z,E5
1627,z,B5
1628,z,A5
1629,z,G4
1630,A#2D#3G3,A#4D5
1631,F3G3B3,G#4
1632,z,z
1633,z,C3D#3G3
1634,C3,C4
1635,A#2,A#4
1636,E2E3,B3E4G#4
1637,F3G#3C4,C5F5G#5C6
1638,D3F3G3,B3B4
1639,z,C5
1640,z,A4
1641,z,E5
1642,A#2,G5A#5F6
1643,z,G4
1644,z,E4
1645,A#2,A#4
1646,G3,D#4
1647,C2C3,C4D#4G4
1648,z,z
1649,z,E5
1650,z,E5
1651,z,A5
1652,C4D#4G4,G#3
1653,z,E5
1654,D#2,D#5G5A#5D#6
1655,z,E5
1656,C3,C6
1657,z,G5
1658,z,A4
1659,G3,F#4
1660,z,C5
1661,D#3G#3C4,C5D#5
1662,G3,F#4
1663,z,G4
1664,z,C5
1665,z,G4
1666,G3,E4G4
1667,C4D4,C5A5
1668,z,E4
1669,z,D5
1670,z,z
1671,z,G5
1672,A#2,A#3
1673,z,A5
1674,z,A4
1675,z,A4
1676,z,C5
1677,C#4,C#5
1678,F#3,F#5
1679,z,F5
1680,G3,A#5
1681,z,G4
1682,A#2D#3G3,G4A#4
1683,z,B5D6
1684,F3,F4
1685,F3,A5C6
1686,C3,C4
1687,G3,B4
1688,z,F5
1689,D#3G#3C4,F5G#5C#6
1690,F3,D4
1691,C3D#3G#3,G4C5D#5
1692,z,z
1693,D#3G#3C4,B4D5
1694,z,z
1695,z,D5
1696,z,D5F5
1697,C#4,A4C#5
1698,C#4,C#5
1699,G3,B4
1700,G#2,C5D#5G#5C6
1701,E3G3C4,F4A4
1702,z,z
1703,z,G4
1704,z,z
1705,C3,C4
1706,z,D6
1707,z,z
1708,z,A4
1709,F#3,F#5
1710,z,z
1711,C4D4,C5A5
1712,z,G5
1713,G3,B4
1714,C3,C6
1715,z,D#5G5
1716,z,z
1717,z,G4
1718,G2,E6
1719,z,z
1720,z,B5
1721,G3,B4
1722,A#2,A#4
1723,z,B5D6
1724,z,z
1725,z,z
1726,C#4,C#5
1727,G3,B4
1728,z,E5
1729,z,E5
1730,F#3C4D#4,F#5C6D#6F#6
1731,F#3,F#5
1732,z,E5
1733,A#2D#3G3,D#4G4
1734,z,z
1735,z,G4
1736,z,D5
1737,z,C5
1738,z,A4
1739,z,G5
1740,A#2D#3G3,D#4G4
1741,z,G4
1742,z,z
1743,z,C5
1744,z,F5
1745,C#4,C#5
1746,z,z
1747,z,D6
1748,z,C5
1749,C3D#3G3,G4G5
1750,G3,B4
1751,z,A5
1752,A2,D4F#4A4
1753,F3G3B3,G#4
1754,z,D5
1755,A#2,A#4
1756,z,E4
1757,z,D5
1758,z,C5
1759,G3,A#5
1760,A3,C#5A5
1761,z,C5
1762,z,D#5G5
1763,z,F5
1764,G3,B4
1765,z,z
1766,z,A4
1767,z,F3D4
1768,z,D5
1769,F3,D4
1770,G#3C4D4F4,F3
1771,F3,F4
1772,C4D#4G4,C3
1773,z,F5G#5
1774,D#3G#3C4,B4D5
1775,z,E5
1776,z,D5
1777,A#2D#3G3,G4A#4D#5
1778,z,z
1779,z,G5
1780,z,C5
1781,C3,C6
1782,z,G5
1783,z,D5
1784,C4D#4G4,D#3
1785,F3,D4
1786,z,G4
1787,A#2D#3G3,D#4G4
1788,z,E5
1789,z,C5
1790,C3,C6
1791,z,z
1792,z,G5
1793,z,z
1794,A#2D#3G3,G4A#4D#5
1795,G#2D#3F3,G4D#5
1796,F3,F4
1797,E3G3,C5E5
1798,z,C5
1799,z,G4
1800,z,A4
1801,z,G5
1802,E3A3C4,A6
1803,z,G5
1804,z,A5
1805,z,G4
1806,F3,D4
1807,z,A4
1808,z,F5
1809,G3,B4
1810,C3,C4
1811,z,E5
1812,C3,C6
1813,G#2,C5D#5G#5C6
1814,z,G4
1815,D#3G#3C4,D#5G#5C6
1816,z,E5
1817,G3,E4G4
1818,z,C5
1819,F3,F4
1820,G3,B4
1821,z,G5
1822,z,D4A#4
1823,z,G5
1824,z,A4
1825,z,A5
1826,G3,B4
1827,E3G3C4,F4A4
1828,z,E4
1829,z,C5
1830,D3,D5F#5
1831,F3G#3C4,F5G#5C6F6
1832,G3,F#4
1833,z,z
1834,D#3G3C#4,G5A#5D#6
1835,z,z
1836,D#3G#3C4,C5D#5
1837,G3,E4G4
1838,z,z
1839,C4D#4G4,C3
1840,C#4,C#5
1841,F3,F4
1842,F#3,F#5
1843,A2,F#3A3
1844,z,E5
1845,z,G5
1846,z,C5
1847,z,G4
1848,z,C5
1849,z,A5
1850,F#3,F#5
1851,C3,C6
1852,z,F5
1853,F#3,F#5
1854,G3,F#4
1855,G3,B4
1856,z,z
1857,A2,F#5A5
1858,C3,E5G5
1859,z,C5
1860,C3,E5G5
1861,z,F5
1862,z,C5
1863,z,G5
1864,z,z
1865,z,A4
1866,z,D6
1867,z,A5
1868,D3,F#4A4D5
1869,z,G5
1870,F3,A5C6
1871,z,z
1872,z,A4
1873,z,A4
1874,z,D5
1875,z,G4
1876,z,C5
1877,D#3G#3C4,B4D5
1878,z,A4
1879,C4D#4G4,F#3
1880,G3,B4
1881,C3,C4
1882,F3G#3C4,F5G#5C6F6
1883,C4D#4G4,D3
1884,z,C5
1885,D#3G#3C4,C5D#5
1886,z,D5
1887,z,A4
1888,G3D4F4,G#5C6G#6
1889,z,F5
1890,z,E4
1891,z,G4
1892,z,F5
1893,G3,F#4
1894,z,C5
1895,D3,F5G5
1896,C#3F3A#3,C#5F5
1897,F3,D4
1898,z,A4
1899,F3,F4
1900,z,F5
1901,C4,G5A#5
1902,F3,F4
1903,z,C5
1904,z,A5
1905,G2,E6
1906,F3,D4
1907,z,E5
1908,z,z
1909,z,E5
1910,z,E5
1911,z,z
1912,z,D5F5
1913,z,z
1914,A#2,A#4
1915,z,F5
1916,z,A5
1917,D2,A4D5
1918,z,E4
1919,z,B5
1920,C3,C4
1921,A2,F#3A3C#4
1922,z,F5
1923,z,z
1924,z,A4
1925,z,A4
1926,D3,D5F#5A5
1927,C4D#4G4,D3
1928,G3,E4G4
1929,C2C3,C5D#5G5C6
1930,z,A4
1931,z,G5
1932,z,G4
1933,z,E5
1934,z,D#5G5
1935,z,E5
1936,z,G4
1937,F3,F#3C4
1938,z,z
1939,C3,C6
1940,F3,F4
1941,z,E5
1942,z,z
1943,z,F5
1944,z,A4
1945,z,z
1946,z,D4F4
1947,G3,B4
1948,D#3G3C4,D#4G4D5
1949,z,C5
1950,z,E5
1951,z,z
1952,G3,B4
1953,D#3G#3C4,C5D#5
1954,z,A4
1955,z,z
1956,z,D5
1957,F#3,F#5
1958,D3F3G#3A#3,A#4D5F5
1959,G1F#2,D3G3B3
1960,E3A3C#4,C#6
1961,z,A4
1962,z,D5
1963,C3,C4
1964,A#2D#3G3,A#4D#5A#5
1965,G3,D#4
1966,z,D5
1967,z,G4
1968,z,B5D6
1969,F#3,F#5
1970,z,E5
1971,G2,A#3D4G4
1972,A#2,A#3
1973,z,E5
1974,z,C5
1975,z,G4
1976,F#3,F#5
1977,z,F5
1978,z,z
1979,z,z
1980,z,D5
1981,z,z
1982,z,D4F4
1983,C#4,C#5
1984,z,z
1985,F#3,F#5
1986,A#2,A#4
1987,C3,C6
1988,z,D5
1989,z,G5
1990,G3D4F4,G5B5G6
1991,C3,C4E4
1992,z,G5
1993,D#3G3A#3,G5D#6
1994,A#2D#3G3,G4A#4
1995,F3,D4
1996,A2F#3A3,C#4C#5
1997,z,F5
1998,C2C3,C4D#4G4
1999,z,G4
2000,z,E4G#4
2001,C#4,A4C#5
2002,z,D5F5
2003,z,C5
2004,G2,E6
2005,z,C5
2006,z,C6D#6
2007,z,B5
2008,z,D5
2009,D2,A3C#4E4
2010,G3,B4
2011,G3,B4
2012,z,E5
2013,z,E4
2014,z,A5
2015,z,A4
2016,z,D5
2017,z,z
2018,z,A5
2019,z,G5
2020,F3,F5A5
2021,D#3G3C#4,G5A#5D#6F6
2022,z,A4
2023,A#2,A#3
2024,D2A2F#3,D4F#4A4D5
2025,z,E5
2026,z,C5
2027,z,z
2028,G3,B4
2029,z,A4
2030,G3,A#5
2031,G3,B4
2032,z,D5F5
2033,A#2D3G#3,F4A#4D5
2034,G#3C4D4F4,F3
2035,z,D3B3
2036,z,G5
2037,z,C5
2038,G#3C4D4F4,F3
2039,D#3G#3C4,C5D#5
2040,z,G4
2041,z,z
2042,G3,A#5
2043,z,D5
2044,z,F5
2045,z,G4
2046,C3,C6
2047,z,z
2048,z,z
2049,G3,A#5
2050,D#3G#3C4,C5D#5
2051,z,G5
2052,z,G5
2053,C#4,C#5
2054,z,A5
2055,z,F5
2056,B1,G#4F5
2057,F3,F4
2058,D#3G#3C4,C5D#5
2059,z,D5
2060,z,z
2061,z,G4
2062,C#4,C#5
2063,F3,A5C6
2064,D3,G4B4
2065,G2,E6
2066,z,E5
2067,G3,B4
2068,C4D#4G4,D3
2069,F3G#3C4,F5G#5C6F6
2070,A2,D4F#4A4
2071,C3C4,G4A#4E5
2072,F3,F5A5
2073,F#3,F#5
2074,z,z
2075,D#3G#3C4,C5D#5
2076,z,C5
2077,G3,B4
2078,z,C5
2079,E3G3,C5E5
2080,A2,F#3A3C#4
2081,z,z
2082,z,A4
2083,A#2,A#4
2084,z,z
2085,z,D5
2086,D3F3G#3A#3,D5F5D6
2087,z,G5
2088,G#2,C5D#5G#5C6
2089,C3,C4E4
2090,z,G4
2091,F3,F5A5
2092,z,D5
2093,z,E5
2094,D#3G3C#4,D#5G5C6
2095,D#3G3A#3,D#4G4A#4
2096,F3G3B3,G#4
2097,z,A4
2098,z,E4
2099,F3,A5C6
2100,D#3G#3C4,C5D#5
2101,C3,C4
2102,G3,B4
2103,F3,F4
2104,z,G5
2105,z,G4
2106,C4D#4G4,C3
2107,A2,F#3A3C#4
2108,z,G#5C6
2109,z,C5
2110,F3,D4
2111,z,z
2112,D3,D5F#5
2113,D#2,G#4C5
2114,z,D5
2115,z,A4
2116,C3,C6
2117,z,C5
2118,z,D#5G5
2119,z,C5
2120,G2,F6
2121,G2,A3D4
2122,z,D5
2123,D2,C#4E4
2124,C3,C4
2125,z,D5
2126,z,D5
2127,z,F5
2128,z,G4
2129,z,G4
2130,z,G4
2131,z,z
2132,z,G5
2133,F#3,F#5
2134,z,A4
2135,z,A5
2136,z,D5
2137,z,G4
2138,z,G5
2139,z,F5
2140,z,G5
2141,D#3G3C#4,C#5C#6
2142,C4D4,C5A5
2143,F#3,F#5
2144,z,A4
2145,z,A5
2146,D#3G3C#4,D#5G5A#5
2147,G3D4F4,B4D5B5
2148,z,C5
2149,z,E5
2150,z,A4
2151,z,C5
2152,z,D6
2153,C#4,C#5
2154,z,z
2155,z,C5
2156,F3G#3C4,F5G#5C6F6
2157,z,D5
2158,G3,F#4
2159,z,B5D6
2160,z,E4
2161,z,G3
2162,F3,F4
2163,z,D4F4
2164,G#3A#3D4,F4A#4F5
2165,C4,D#5
2166,F3,F4
2167,C3,C6
2168,z,D4F4
2169,G#3D4,C4F4
2170,F3,F4
2171,F3G#3A#3D4,A#4F5A#5
2172,z,z
2173,z,C5
2174,z,A5
2175,z,E4
2176,C3D#3G3,C4C5
2177,z,D5
2178,z,E5
2179,G3,B3D4
2180,G3,B4
2181,z,z
2182,z,G5
2183,z,A4
2184,F3,F4
2185,F3,F4
2186,z,A5
2187,z,A4
2188,A#2,A#3
2189,z,D5
2190,z,D5
2191,C3,C4E4
2192,A#2D#3G3,A#4D5
2193,z,A5
2194,z,D5
2195,C3D#3F#3,F#4F#5
2196,C3D#3G3,D4D5
2197,z,D5F5
2198,z,E4
2199,G3,D#4
2200,F3,A5C6
2201,C#4,C#5
2202,G#3A#3D4,F4A#4F5
2203,z,F5
2204,C3D#3F#3,F#4F#5
2205,F3G#3A#3,F5G#5C6
2206,z,z
2207,E3G3C4,F4A4
2208,z,A4
2209,D#3G3C#4,G5A#5D#6
2210,z,E5
2211,B1,G#4F5
2212,A#2D#3G3,G4A#4D#5
2213,F3,F4
2214,z,E4
2215,z,G5
2216,z,A4
2217,z,E5
2218,z,D5
2219,E3G3C4,F4A4
2220,G3,B4
2221,z,z
2222,z,C5
2223,z,z
2224,C#4,C#5
2225,z,z
2226,z,D5
2227,z,C5
2228,z,G3
2229,z,z
2230,C3,C6
2231,z,A4
2232,z,z
2233,G3D4F4,B4D5B5
2234,C3,C6
2235,C3,C4
2236,z,z
2237,C3,C6
2238,z,D5
2239,z,G5
2240,z,E5
2241,z,D6
2242,z,A4
2243,E2,E3G3B3
2244,G3,B3D4
2245,z,E5
2246,z,z
2247,z,G5
2248,F3,D4
2249,z,D5
2250,G3,B4
2251,z,A4
2252,G3,A#5
2253,G3,B4
2254,z,z
2255,z,E4
2256,F#3,F#5
2257,F3,F4
2258,D#2,G5F6
2259,G3,A#5
2260,z,E5
2261,z,D5
2262,z,A4
2263,z,G5
2264,z,G4
2265,z,C5
2266,z,D5
2267,z,A4
2268,D3,A4B4
2269,F3,F4
2270,z,D4F4
2271,z,D5
2272,A#2,A#4
2273,z,z
2274,E3G3C4,F4A4
2275,z,E4
2276,D#3G#3C4,B4D5
2277,z,E4
2278,C4D#4G4,D3
2279,z,E4
2280,z,G4
2281,C3,C4
2282,z,D5F5
2283,C3,E5G5
2284,G3,B4
2285,z,G4
2286,C3,E3C4
2287,z,B5
2288,z,D5
2289,z,G5
2290,F#3,F#5
2291,z,z
2292,z,C5
2293,C3D#3G3,C4C5
2294,F3,F5A5
2295,z,D5
2296,z,F5
2297,F#3,F#5
2298,z,C5
2299,z,z
2300,G#3C4D4F4,F3
2301,z,G4
2302,z,D5
2303,z,E4
2304,z,E5
2305,F3G3,B3
2306,z,E4
2307,z,D5F5
2308,z,z
2309,C4D4,C5A5
2310,z,A5
2311,G3,B3G4
2312,z,D5
2313,z,E5
2314,F3,F4
2315,C3,C6
2316,z,E5
2317,z,G4
2318,C3,E5G5
2319,z,E5
2320,F3G3B3,G#4
2321,z,B5
2322,G3D4F4,G5B5G6
2323,z,C3D#3G3
2324,z,D5
2325,z,z
2326,z,D5
2327,z,D5
2328,D3F3G#3A#3,D5F5D6
2329,G3,B4
2330,C3,C6
2331,z,z
2332,z,D5
2333,F3,D4
2334,z,E5
2335,z,G5
2336,z,C5
2337,z,D6
2338,z,B5D6
2339,z,z
2340,C3D#3G3,C4C5
2341,z,A4
2342,C3,C4
2343,z,E5
2344,z,E4
2345,z,G5
2346,z,G4
2347,D3F3G3,B3B4
2348,z,D#5G5
2349,z,E5
2350,z,E5
2351,z,E5
2352,F#3,F#5
2353,F3,F4
2354,z,D5F5
2355,z,D5
2356,E3G#3D4,F#6
2357,C4,D#5
2358,z,G3
2359,z,E4G#4
2360,G#2,C5D#5G#5C6
2361,A#2C3E3,E4G4A#4
2362,z,E5
2363,F3,F4
2364,z,A5
2365,C3,E3C4
2366,C4,G5A#5
2367,G3B3F4,G5B5D#6G6
2368,z,A4
2369,z,C5
2370,z,E4
2371,C#4,C#5
2372,z,D5F5
2373,z,D5
2374,F3,D4
2375,A#2D#3G3,G4A#4
2376,z,A4
2377,F#3,F#5
2378,z,G4
2379,G3,B4
2380,z,G5
2381,z,D5
2382,z,D5
2383,z,E4
2384,F#3,F#5
2385,G2,A3D4F#4
2386,z,C5
2387,z,z
2388,z,z
2389,z,D5
2390,F3,D4
2391,G3,B4
2392,F3G3,B3
2393,z,D5
2394,F3G3,B3
2395,z,E4
2396,z,z
2397,z,C5
2398,z,G3
2399,z,G5
2400,z,z
2401,z,D5
2402,z,A5
2403,z,z
2404,D3,D5A5B5
2405,G3,B4
2406,z,z
2407,F3,D4
2408,z,A5
2409,z,A4
2410,z,F5
2411,D#2,D#5G5A5
2412,F3,F4
2413,z,D5
2414,G3,F#4
2415,G3,B4
2416,A#2,A#3
2417,F3,F4
2418,z,D5
2419,z,F5G#5
2420,z,G5
2421,z,E4
2422,z,G4
2423,C#4,C#5
2424,z,D5
2425,z,G4
2426,C3,C4E4
2427,F#3,F#5
2428,z,z
2429,z,B5
2430,G3,B4
2431,z,z
2432,z,z
2433,z,G4
2434,F3,F4
2435,z,z
2436,z,D#5G5
2437,G3,F#4
2438,z,G4
2439,D4,A4D5F#5
2440,G3,B4
2441,z,A4
2442,D#3G3A#3,A#4D#5G5
2443,z,A4
2444,G3,B4
2445,z,C5
2446,z,F5
2447,z,D5
2448,z,D5
2449,G3,B4
2450,G3,F#4
2451,D2,A3C#4E4A4
2452,z,E5
2453,F3,F4
2454,A#2D#3G3,D#4G4
2455,z,F5
2456,z,z
2457,z,F5
2458,z,A4
2459,z,z
2460,z,A4
2461,z,F5
2462,z,A5
2463,z,D4F4
2464,z,D5
2465,z,F5
2466,z,D5
2467,D4,A4D5F#5
2468,z,A5
2469,C4,D#5
2470,F#3,F#5
2471,z,G4
2472,F#3,F#5
2473,G#3D4,C4F4A#4
2474,z,A4
2475,z,A5
2476,G3,B4
2477,z,G4
2478,z,E5
2479,z,G4
2480,z,A5
2481,G1F#2,D3G3B3
2482,z,A5
2483,z,C5
2484,z,z
2485,z,G5
2486,D#3G#3C4,B4D5
2487,z,F5
2488,z,D5
2489,G2,A3D4F#4
2490,z,C5
2491,A2,F#3A3C#4
2492,z,A5
2493,G2,A3D4
2494,z,A4
2495,z,D4F4
2496,z,G4
2497,z,F5
2498,z,B5
2499,D3,G4B4
2500,A#2,A#4
2501,z,G4
2502,A#2D#3G3,A#4D#5A#5
2503,z,z
2504,C#4,C#5
2505,z,G5
2506,z,A4
2507,A#2,A#4
2508,z,C6D#6
2509,z,G5
2510,z,A5
2511,z,D5
2512,C3,C4
2513,G3,F#4
2514,z,G4
2515,C2C3,C5D#5G5C6
2516,z,B5
2517,G2,D4G4B4
2518,z,D4F4
2519,z,z
2520,z,C5
2521,z,G4
2522,z,F5
2523,z,G4
2524,z,G4
2525,F3,D4
2526,C#4,C#5
2527,F#3,F#5
2528,G3,D#4
2529,z,D5
2530,D3F3G3,B3B4
2531,z,C5
2532,z,G5
2533,C4D#4G4,D3
2534,E3G3C4,F4A4
2535,z,D#5G5
2536,z,G5
2537,z,A4
2538,z,F5
2539,z,D5
2540,F3,D4
2541,z,C5
2542,G3,B4
2543,z,D5
2544,G3,B4
2545,z,E4
2546,z,B5
2547,G3,A#5
2548,C3,C4
2549,G3,A#5
2550,z,G5
2551,z,E4
2552,G3,F#4
2553,z,A5
2554,C3,C4E4
2555,z,z
2556,z,E5
2557,z,F5
2558,A#2,A#4
2559,z,C5
2560,C3,C6
2561,G3,B4
2562,z,D4F4
2563,z,G5
2564,C3,C4
2565,z,D5
2566,G2,A3D4F#4
2567,z,A4
2568,z,D5
2569,z,G4
2570,z,A4
2571,z,A4
2572,F3G3B3,G#4
2573,z,z
2574,z,F5
2575,z,D5F5
2576,G3,F#4
2577,D#3G3C4,D#4G4D5
2578,z,G4
2579,z,z
2580,C4D#4G4,D#3
2581,F#3,F#5
2582,z,G5
2583,E3,A4D5E5
2584,z,z
2585,C#4,C#5
2586,z,E5G5C6
2587,C3,E5G5
2588,z,E5
2589,z,C5
2590,z,D5F5
2591,D3F3G#3A#3,A#4D5F5
2592,z,F5
2593,z,z
2594,z,C5
2595,A#2D#3G3,G4A#4
2596,F3,D4
2597,z,F5
2598,E2E3,B3E4G#4
2599,C3,A3
2600,F3,F4
2601,C3,C6
2602,F3,D4
2603,C3D#3G3,C4C5
2604,G2,A3D4F#4
2605,z,G4
2606,z,G5
2607,F#3,F#5
2608,z,A5
2609,z,A4
2610,z,G4
2611,F3G#3C4,F5G#5C6F6
2612,z,D5F5
2613,G#3D4,C4F4G#4
2614,z,E5
2615,z,A4
2616,z,E5
2617,G3C4D#4,C5D#5C6
2618,z,A4
2619,z,A5
2620,F#3,F#5
2621,G2,B4D5G5
2622,C4,D#5
2623,z,B5
2624,D3F3G#3A#3,D5F5D6
2625,z,G5
2626,z,A5
2627,G3,D#4
2628,z,z
2629,z,G5
2630,z,z
2631,z,E5
2632,G1G2,G2B2D3G3
2633,G3,B4
2634,C2C3,C5D#5G5C6
2635,A#2,A#4
2636,C3,C6
2637,F3,D4
2638,z,z
2639,G3D4F4G4,B2
2640,z,F5
2641,z,E5
2642,C4D4,B4G#5
2643,z,D5
2644,z,G5
2645,C#4,C#5
2646,F3,F4
2647,E3G3,C5E5
2648,z,E5
2649,z,F5
2650,z,E4
2651,z,z
2652,G3,B4
2653,z,C5
2654,z,D5
2655,G3D4F4,G4B4G5
2656,z,D5
2657,z,D5
2658,z,C5
2659,z,A5
2660,C#4,C#5
2661,z,C5
2662,z,C5
2663,z,E4
2664,z,G4
2665,z,D5
2666,z,F5
2667,z,D6
2668,z,C5
2669,z,D5
2670,C3D#3F#3,F#4F#5
2671,z,B5
2672,z,z
2673,A#2D3G#3,F4A#4D5
2674,z,G5
2675,z,E5
2676,C#4,C#5
2677,F3,F4
2678,z,D5F5
2679,C#4,C#5
2680,z,D5
2681,F3G#3C4,F5G#5C6F6
2682,F3,D4
2683,G3,F#4
2684,E3G3,C5E5
2685,C4D4,C5A5
2686,z,G5
2687,G#2,C5D#5G#5C6
2688,z,z
2689,D#3G3C#4,D5G5B5
2690,D3F3G3,G#4G#5
2691,A#2D#3G3,G4A#4D#5
2692,F3G#3D4,D5F5A#5D6
2693,G3,F#4
2694,D3,F#4D5
2695,z,E5G5C6
2696,z,G3
2697,A#2D#3G3,G4A#4D#5
2698,z,E4
2699,z,C5
2700,G3,A#5
2701,z,A5
2702,z,D5F5
2703,z,G5
2704,G1G2,B3D4G4B4
2705,G3,B4
2706,z,z
2707,C3D#3G3,D#5G5D#6
2708,F3,D4
2709,z,A5
2710,F3,D4
2711,z,D5
2712,G#3C4D4F4,F3
2713,z,z
2714,G3,E4G4
2715,z,E5G5C6
2716,C4,G5A#5
2717,z,z
2718,z,G4
2719,G3C4D#4,C5D#5C6
2720,C#4,C#5
2721,z,G3
2722,z,D6
2723,G3,B4
2724,F3G#3C4,F4F5
2725,D#3G#3C4,C5D#5
2726,C4D4,C5A5
2727,z,z
2728,G3,D#4
2729,z,G3
2730,z,A4
2731,F3G#3C4,G5D6G6
2732,A2,F#3A3C#4
2733,z,A4
2734,z,A4
2735,C3,C4
2736,z,F5
2737,G3,F#4
2738,z,C5
2739,E4,E4C5
2740,z,F5
2741,z,C5
2742,z,z
2743,z,D6
2744,z,D5F5
2745,z,G4
2746,z,G4
2747,z,z
2748,z,A4
2749,z,E5
2750,F3G#3A#3D4,D4F4G#4C5
2751,z,B5
2752,z,C5
2753,F3,F4
2754,z,G5
2755,z,G5
2756,z,z
2757,z,G4
2758,z,G5
2759,F3,D4
2760,z,D5
2761,z,C5
2762,C4D#4G4,C3
2763,z,D5F5
2764,z,D5
2765,z,D5
2766,C#4,C#5
2767,z,D5
2768,A#2,G5A#5F6
2769,z,G4
2770,z,A5
2771,z,D5
2772,F3,F4
2773,A#2,A#4
2774,z,C5
2775,z,D6
2776,z,C5
2777,z,G4
2778,E2,E3G3B3
2779,z,z
2780,D#3G#3C4,C5D#5
2781,E2E3,B3E4G#4
2782,F#3,F#5
2783,E2,E3G3B3
2784,z,A4
2785,F3,D4
2786,z,A4
2787,D#3G#3C4,C5D#5
2788,A#2D#3G3,G4A#4
2789,z,E5
2790,z,G5
2791,F#3,F#5
2792,z,E5
2793,G3,B4
2794,F3,D4
2795,z,A4
2796,C3,C6
2797,F3G#3C4,F5G#5C6F6
2798,G3,B4
2799,z,D5
2800,G3,D#4
2801,A#2D#3G3,G4A#4D#5
2802,z,E5
2803,z,F5
2804,F3,D4
2805,G2,A#3D4G4
2806,z,D5
2807,C3D#3G3,G4G5
2808,z,E5
2809,G3,B4
2810,z,A5
2811,z,E5
2812,z,A4
2813,D3,G4B4
2814,z,z
2815,z,E5
2816,z,G4
2817,F3,F4
2818,F3,D4
2819,F3,F4
2820,z,C5
2821,z,G4
2822,z,D4F4
